Films,Year,Oscars,Nominations
Qivitoq,1957,0,1
Quality Street,1938,0,1
Queen Bee,1956,0,2
Queen Margot,1995,0,1
Quest,1997,1,1
Quest for Camelot,1999,0,1
Quest for Fire,1983,1,1
Quicker 'N a Wink,1941,1,1
Quiero Ser (I want to be...),2001,1,1
Quiet Please!,1946,1,1
Quills,2001,0,3
Quiz Show,1995,0,4
Quo Vadis,1952,0,8
RBG,2019,0,1
Rabbit Hole,2011,0,1
Rabbit à la Berlin,2010,0,1
Rachel Getting Married,2009,0,1
"Rachel, Rachel",1969,0,4
Racing Extinction,2016,0,1
Radio Bikini,1988,0,1
Radio Days,1988,0,2
Raffles,1931,0,1
Raging Bull,1981,2,8
Ragtime,1982,0,8
Raiders of the Lost Ark,1982,4,8
Rain Man,1989,4,8
Rainbow War,1986,0,1
Raintree County,1958,0,4
Raise the Red Lantern,1992,0,1
Raju,2012,0,1
Ralph Breaks the Internet,2019,0,1
Rambling Rose,1992,0,2
Rambo: First Blood Part II,1986,0,1
Ran,1986,1,4
Random Harvest,1943,0,7
Rango,2012,1,1
Raoni,1979,0,1
Rashomon,1953,0,1
Rasputin and the Empress,1934,0,1
Ratatouille,2008,1,5
Raven's End,1965,0,1
Ray,2005,2,6
Ray's Male Heterosexual Dance Hall,1988,1,1
Ready Player One,2019,0,1
"Ready, Willing and Able",1938,0,1
Real Steel,2012,0,1
Reap the Wild Wind,1943,1,3
Rear Window,1955,0,4
Reason and Emotion,1944,0,1
Rebecca,1941,2,11
Rebel in Paradise,1961,0,1
Rebel without a Cause,1956,0,3
"Reci, Reci, Reci... (Words, Words, Words)",1993,0,1
Recollections of Pavlovsk,1985,0,1
Recycled Life,2007,0,1
Red,1995,0,3
Red Garters,1955,0,1
Red Grooms: Sunflower in a Hothouse,1987,0,1
Red River,1949,0,2
Redemption,2013,0,1
Reds,1982,3,12
Redux Riding Hood,1998,0,1
Regret to Inform,1999,0,1
Rehearsing a Dream,2007,0,1
Rejected,2001,0,1
Rembrandt: A Self-Portrait,1955,0,1
Remember Me,['1980' '2018'],1,2
Remo Williams: The Adventure Begins,1986,0,1
Report from the Aleutians,1944,0,1
Requiem for a Dream,2001,0,1
Resisting Enemy Interrogation,1945,0,1
Restoration,1996,2,2
Restrepo,2011,0,1
Resurrection,1981,0,2
Return of the Jedi,1984,0,4
Return of the Seven,1967,0,1
Return to Glennascaul,1954,0,1
Return to Oz,1986,0,1
"Reuben, Reuben",1984,0,2
Reunion in Vienna,1934,0,1
Revanche,2009,0,1
Reversal of Fortune,1991,1,3
Revolting Rhymes,2018,0,1
Revolutionary Road,2009,0,3
Rhapsody in Blue,1946,0,2
Rhapsody in Rivets,1942,0,1
Rhythm in the Ranks,1942,0,1
Rhythm on the River,1941,0,1
"Rich, Young and Pretty",1952,0,1
Richard III,1996,0,3
Ride the Pink Horse,1948,0,1
Ridicule,1997,0,1
Ridin' on a Rainbow,1942,0,1
Ridin' the Rails,1952,0,1
Riding High,1944,0,1
Rio,2012,0,1
Rip Van Winkle,1979,0,1
Rippling Romance,1946,0,1
Rise of the Planet of the Apes,2012,0,1
Road to Morocco,1943,0,2
Road to Perdition,2003,1,6
Road to Rio,1948,0,1
Road to Utopia,1947,0,1
Rob Roy,1996,0,1
Robert Frost: A Lover's Quarrel with the World,1964,1,1
Robert Kennedy Remembered,1969,1,1
Roberta,1936,0,1
Robin Hood,1974,0,1
Robin Hood: Prince of Thieves,1992,0,1
Robin Hoodlum,1949,0,1
Robin and the 7 Hoods,1965,0,2
RoboCop,1988,0,2
Rocky,1977,3,10
Rocky III,1983,0,1
Rogue Cop,1955,0,1
Rogue One: A Star Wars Story,2017,0,2
Roland Joffé,1985,0,1
Roller Derby Girl,1950,0,1
Roma,2019,3,10
Roman Holiday,1954,3,10
"Roman J. Israel, Esq.",2018,0,1
Romance,1931,0,2
Romance of Radium,1938,0,1
Romance of Transportation,1953,0,1
Romance on the High Seas,1949,0,2
Romancing the Stone,1985,0,1
Romeo and Juliet,['1937' '1969'],2,8
Rooftops of New York,1962,0,1
Room,2016,1,4
Room at the Top,1960,2,6
Room on the Broom,2014,0,1
Roommates,1996,0,1
Rooty Toot Toot,1952,0,1
Rose Kennedy: A Life to Remember,1991,0,1
Rosemary's Baby,1969,1,2
Royal Scotland,1953,0,1
Royal Wedding,1952,0,1
Rugged Bear,1954,0,1
Ruggles of Red Gap,1936,0,1
Runaway Brain,1996,0,1
Runaway Train,1986,0,3
Running on Empty,1989,0,2
Russian Soil,1942,0,1
Ryan,2005,1,1
Ryan's Daughter,1971,2,4
Sabrina,1955,1,8
Sadie Thompson,1929,0,2
Sagebrush and Silver,1942,0,1
Sahara,1944,0,3
Saint Matthew Passion,1967,0,1
Sal of Singapore,1930,0,1
Salaam Bombay!,1989,0,1
Salim Baba,2008,0,1
Sallah,1965,0,1
Sally,1931,0,1
Salt,2011,0,1
Salty O'Rourke,1946,0,1
Saludos Amigos,1944,0,3
Salvador,1987,0,2
Sam,1987,0,1
Samba-Mania,1949,0,1
"Same Time, Next Year",1979,0,4
Samoa,1957,0,1
Samson and Delilah,1951,2,5
San Antonio,1946,0,2
San Francisco,1937,1,6
Sand,1950,0,1
Sandakan No. 8,1976,0,1
Sands of Iwo Jima,1950,0,4
Sandy Claws,1955,0,1
Sanjay’s Super Team,2016,0,1
Saraband,1950,0,1
Sarah and Son,1931,0,1
Saratoga Trunk,1947,0,1
Sari's Mother,2008,0,1
Saturday Night Fever,1978,0,1
Save the Tiger,1974,1,3
Saving Face,2012,1,1
Saving Mr. Banks,2014,0,1
Saving Private Ryan,1999,5,11
Say Goodbye,1971,0,1
Say One for Me,1960,0,1
Sayonara,1958,4,10
Scared Straight!,1979,1,1
Scent of a Woman,1993,1,6
Schindler's List,1994,7,12
School in the Mailbox,1948,0,1
School of Assassins,1995,0,1
Schtonk!,1993,0,1
Scottsboro: An American Tragedy,2001,0,1
Scratch-As-Catch-Can,1933,0,1
Screen Play,1993,0,1
Screen Snapshots' 25th Anniversary,1946,0,1
Screen Snapshots' 50th Anniversary of Motion Pictures,1945,0,1
Screen Souvenirs,1933,0,1
Scrooge,1971,0,4
Scrooged,1989,0,1
Seabiscuit,2004,0,7
Seal Island,1949,1,1
Seance on a Wet Afternoon,1965,0,1
Searching for Bobby Fischer,1994,0,1
Searching for Sugar Man,2013,1,1
Seawards the Great Ships,1962,1,1
Second Chorus,1941,0,2
Second Class Mail,1986,0,1
Second Fiddle,1940,0,1
Seconds,1967,0,1
Secret Command,1945,0,1
Secrets & Lies,1997,0,5
Secrets of the Heart,1998,0,1
See What I Say,1982,0,1
See You at the Pillar,1968,0,1
Seeds of Destiny,1947,1,1
Seeing Hands,1944,0,1
Seeing Red,1984,0,1
Self Defense--For Cowards,1963,0,1
Selling Out,1973,0,1
Selma,2015,1,2
Sensations of 1945,1945,0,1
Sense and Sensibility,1996,1,7
Sentinels of Silence,1972,2,2
Senzeni Na? (What Have We Done?),1991,0,1
Separate Tables,1959,2,7
Seraglio,2001,0,1
Serengeti Shall Not Die,1960,1,1
Sergeant York,1942,2,11
Serpico,1974,0,2
Service with the Colors,1941,0,1
Session Man,1992,1,1
Seven,1996,0,1
Seven Beauties,1977,0,4
Seven Brides for Seven Brothers,1955,1,5
Seven Days in May,1965,0,2
Seven Days to Noon,1952,1,1
Seven Thieves,1961,0,1
Sewing Woman,1984,0,1
Sexy Beast,2002,0,1
Shadow of a Doubt,1944,0,1
Shadow of the Vampire,2001,0,2
Shadowlands,1994,0,2
Shaft,1972,1,2
Shakespeare in Love,1999,7,13
Shall We Dance,1938,0,1
Shallow,2019,1,1
Shampoo,1976,1,4
Shane,1954,1,6
Shanghai Express,1933,1,3
Shanghai Triad,1996,0,1
Shanks,1975,0,1
Shark Tale,2005,0,1
Shaun the Sheep Movie,2016,0,1
She,1936,0,1
She Done Him Wrong,1934,0,1
She Loves Me Not,1935,0,1
She Married a Cop,1940,0,1
She Wore a Yellow Ribbon,1950,1,1
Shenandoah,1966,0,1
Sherlock Holmes,2010,0,2
Shine,1997,1,7
Ship of Fools,1966,2,8
Shirley Valentine,1990,0,2
Shoe-Shine,1948,0,1
Shoeshine,1988,0,1
Shok,2016,0,1
Shoplifters,2019,0,1
Short Cuts,1994,0,1
Should Wives Work?,1938,0,1
Show Boat,1952,0,2
Shrek,2002,1,2
Shrek 2,2005,0,2
Shut Up...I'm Crying,1971,0,1
Siam,1955,0,1
Sicario,2016,0,3
Sicko,2008,0,1
Sideways,2005,1,5
Sidney's Family Tree,1959,0,1
Siege,1941,0,1
Silence,2017,0,1
Silent Nights,2017,0,1
Silkwood,1984,0,5
Silver Linings Playbook,2013,1,8
Silver Queen,1943,0,2
Silver Streak,1977,0,1
Silver into Gold,1988,0,1
Silverado,1986,0,2
Sinbad the Sailor,1937,0,1
Since You Went Away,1945,1,9
Sing,2017,1,1
Sing Your Way Home,1946,0,1
Sing!,2002,0,1
"Sing, Baby, Sing",1937,0,1
Singin' in the Rain,1953,0,2
Singing Guns,1951,0,1
Sister Kenny,1947,0,1
Sister Rose's Passion,2005,0,1
Sisyphus,1976,0,1
Sitting Pretty,1949,0,1
Six Degrees of Separation,1994,0,1
Six Shooter,2006,1,1
Six-Sided Triangle,1964,0,1
Skaterdater,1966,0,1
Skin,2019,1,1
Skippy,1932,1,4
Sky over Holland,1968,0,1
Skyfall,2013,2,5
Skylark,1942,0,1
Skyscraper,['1930' '1960'],0,2
Sleepers,1997,0,1
Sleeping Beauty,1960,0,1
Sleepless in Seattle,1994,0,2
Sleepy Hollow,2000,1,3
Sleuth,1973,0,4
Sling Blade,1997,1,2
Slumdog Millionaire,2009,8,10
Small Talk,1994,0,1
Small Town Girl,1954,0,1
Smart Money,1932,0,1
Smart as a Fox,1947,0,1
Smash-Up--The Story of a Woman,1948,0,2
Smile Pinki,2009,1,1
Smilin' Through,1934,0,1
Smokey and the Bandit,1978,0,1
Snow,1966,0,1
Snow Capers,1949,0,1
Snow Carnival,1950,0,1
Snow Falling on Cedars,2000,0,1
Snow White and the Huntsman,2013,0,2
Snow White and the Seven Dwarfs,1938,0,1
Snows of Aorangi,1959,0,1
So Dear to My Heart,1950,0,1
So Ends Our Night,1942,0,1
So Much for So Little,1950,0,1
So Proudly We Hail!,1944,0,4
So This Is Harris,1934,1,1
So This Is Washington,1944,0,1
So You Think You're Not Guilty,1950,0,1
So You Want to Be in Pictures,1948,0,1
So You Want to Be on the Radio,1949,0,1
Soldiers in Hiding,1986,0,1
Soldiers of the Sky,1942,0,1
Solly's Diner,1980,0,1
Solo,1973,0,1
Solo: A Star Wars Story,2019,0,1
Solomon and Gaenor,2000,0,1
Some Came Running,1959,0,5
Some Like It Hot,1960,1,6
Somebody Up There Likes Me,1957,2,3
Somebody Waiting,1972,0,1
Something to Shout About,1944,0,2
Something to Sing About,1938,0,1
Something's Gotta Give,2004,0,1
Sometimes a Great Notion,1972,0,2
Somewhere in Time,1981,0,1
Son of Paleface,1953,0,1
Son of Saul,2016,1,1
Son of the Bride,2002,0,1
Song of the Flame,1931,0,1
Song of the Open Road,1945,0,2
Song of the Sea,2015,0,1
Song of the South,1948,1,2
Song without End (The Story of Franz Liszt),1961,1,1
Songwriter,1985,0,1
Sons and Lovers,1961,1,7
Sons of Liberty,1940,1,1
Sophie Scholl - The Final Days,2006,0,1
Sophie's Choice,1983,1,5
Sorcerer,1978,0,1
Sorrell and Son,1929,0,1
"Sorry, Wrong Number",1949,0,1
Souls at Sea,1938,0,3
Sound and Fury,2001,0,1
Sound of Sunshine - Sound of Rain,1984,0,1
Sounder,1973,0,4
South Pacific,1959,1,3
"South Park: Bigger, Longer & Uncut",2000,0,1
Space Cowboys,2001,0,1
Spaceborne,1978,0,1
Spaces: The Architecture of Paul Rudolph,1984,0,1
Spartacus,1961,4,6
Speaking in Strings,2000,0,1
Speaking of Animals and Their Families,1943,1,1
Special Delivery,1979,1,1
Special Effects,1997,0,1
Spectre,2016,1,1
Speed,1995,2,3
Speed for Thespians,2002,0,1
Speedy,1929,0,1
Speedy Gonzales,1956,1,1
Spellbound,1946,1,7
Spider-Man,2003,0,2
Spider-Man 2,2005,1,3
Spider-Man: Into the Spider-Verse,2019,1,1
Spielzeugland (Toyland),2009,1,1
Spills and Chills,1950,0,1
Spirit: Stallion of the Cimarron,2003,0,1
Spirited Away,2003,1,1
Splash,1985,0,1
Splendor in the Grass,1962,1,2
Split Cherry Tree,1983,0,1
Spotlight,2016,2,6
Spring Parade,1941,0,4
Squash,2004,0,1
Squatter's Rights,1947,0,1
Squires of San Quentin,1979,0,1
Sredni Vashtar,1983,0,1
Stage Door,1938,0,4
Stage Door Canteen,1944,0,2
Stagecoach,1940,2,7
Stagecoach to Fury,1957,0,1
Stairway to Light,1946,1,1
Stalag 17,1954,1,3
Stand By for Action,1944,0,1
Stand Up For Something,2018,0,1
Stand and Deliver,1989,0,1
Stand by Me,1987,0,1
Star Spangled Rhythm,1944,0,2
Star Trek,2010,1,4
Star Trek - The Motion Picture,1980,0,3
Star Trek Beyond,2017,0,1
Star Trek IV: The Voyage Home,1987,0,4
Star Trek Into Darkness,2014,0,1
Star Trek VI The Undiscovered Country,1992,0,2
Star Trek: First Contact,1997,0,1
Star Wars,1978,6,10
Star Wars Episode I: The Phantom Menace,2000,0,3
Star Wars Episode II Attack of the Clones,2003,0,1
Star Wars: Episode III Revenge of the Sith,2006,0,1
Star Wars: The Force Awakens,2016,0,5
Star Wars: The Last Jedi,2018,0,4
Star in the Night,1946,1,1
Star!,1969,0,7
Starman,1985,0,1
Starship Troopers,1998,0,1
Starting Over,1980,0,2
State Fair,['1934' '1946'],1,4
Steel Magnolias,1990,0,1
Stella Dallas,1938,0,2
Step Lively,1945,0,1
Steve Jobs,2016,0,2
Sticky My Fingers...Fleet My Feet,1971,0,1
Still Alice,2015,1,1
Still Kicking: The Fabulous Palm Springs Follies,1998,0,1
Stolen Kisses,1969,0,1
Stop the World--I Want to Get Off,1967,0,1
"Stop, Look and Listen",1968,0,1
Storm over Bengal,1939,0,1
Story of a Dog,1946,0,1
Straight Outta Compton,2016,0,1
Straight from the Heart,1995,0,1
Strange Fruit,1979,0,1
Strange Invaders,2002,0,1
Strangers No More,2011,1,1
Strangers on a Train,1952,0,1
Strategic Air Command,1956,0,1
Straw Dogs,1972,0,1
Strawberry and Chocolate,1995,0,1
Street Angel,1930,0,3
Street Fight,2006,0,1
Street Smart,1988,0,1
Street of Chance,1931,0,1
Streetwise,1985,0,1
Strike Up the Band,1941,1,3
Strikes and Spares,1935,0,1
Strings,1992,0,1
Strong Island,2018,0,1
Stuart Little,2000,0,1
Stubble Trouble,2002,0,1
Stutterer,2016,1,1
Sudden Fear,1953,0,4
"Suddenly, Last Summer",1960,0,3
Suez,1939,0,3
Suicide Squad,2017,1,1
Sully,2017,0,1
Summer Storm,1945,0,1
"Summer Wishes, Winter Dreams",1974,0,2
Summer and Smoke,1962,0,4
Summer of '42,1972,1,4
Summertime,1956,0,2
Sun Come Up,2011,0,1
Sun Valley Serenade,1942,0,3
Sunbonnet Sue,1946,0,1
Sundae in New York,1984,1,1
Sunday Bloody Sunday,1972,0,4
Sundays and Cybele,1964,1,3
Sundown,1942,0,3
Sunflower,1971,0,1
Sunny,1942,0,1
Sunrise,1929,2,5
Sunrise at Campobello,1961,0,4
Sunrise over Tiananmen Square,1999,0,1
Sunset,1989,0,1
Sunset Blvd.,1951,3,11
Super Chief: The Life and Legacy of Earl Warren,1990,0,1
Super Size Me,2005,0,1
Superman,1979,0,4
Superman Returns,2007,0,1
Sure Cures,1947,0,1
Surf's Up,2008,0,1
Survival City,1956,1,1
Susan Slept Here,1955,0,2
Suspicion,1942,1,3
Suzanne Farrell: Elusive Muse,1997,0,1
Suzy,1937,0,1
Svengali,1932,0,2
Swan Song,1993,0,1
Swanee River,1940,0,1
Swedes in America,1944,0,1
Sweeney Todd The Demon Barber of Fleet Street,2008,1,3
Sweet Bird of Youth,1963,1,3
Sweet Charity,1970,0,3
Sweet Dreams,1986,0,1
Sweet and Lowdown,2000,0,3
Sweethearts,1939,0,2
Sweethearts?,1998,0,1
Swing High,1933,0,1
Swing Shift,1985,0,1
Swing Time,1937,1,2
Swingtime in the Movies,1939,0,1
Swiss Family Robinson,1941,0,1
Switzerland,1956,0,1
Swooner Crooner,1945,0,1
Sword Fishing,1940,0,1
Symphony of a City,1949,1,1
Symposium on Popular Songs,1963,0,1
Syriana,2006,1,2
Syrup,1995,0,1
T Is for Tumbleweed,1959,0,1
T-Men,1948,0,1
Tabasco Road,1958,0,1
Tabu,1932,1,1
"Take a Letter, Darling",1943,0,3
Take the High Ground,1954,0,1
Tales of Hoffmann,1952,0,2
Tales of Meeting and Parting,1985,0,1
Talk to Her,2003,1,2
"Tall, Dark and Handsome",1942,0,1
Tammy and the Bachelor,1958,0,1
Tangerines,2015,0,1
Tanghi Argentini,2008,0,1
Tangled,2011,0,1
Tango,['1983' '1999'],1,2
Tanks a Million,1942,0,1
Tanna,2017,0,1
Taras Bulba,1963,0,1
Tarzan,2000,1,1
Taxi Driver,1977,0,4
Taxi to the Dark Side,2008,1,1
Tchaikovsky,1972,0,2
Tea for Two Hundred,1949,0,1
Teacher's Pet,1959,0,2
Technological Threat,1989,0,1
Ted,2013,0,1
"Teddy, the Rough Rider",1941,1,1
Teenage Father,1979,1,1
Teenage Rebel,1957,0,2
Tell the Truth and Run: George Seldes and the American Press,1997,0,1
Tempest,1929,0,1
Ten Gentlemen from West Point,1943,0,1
Tender Is the Night,1963,0,1
Tender Mercies,1984,2,5
Tequila Sunrise,1989,0,1
Teresa,1952,0,1
Terminator 2: Judgment Day,1992,4,6
Terms of Endearment,1984,5,11
Tess,1981,3,6
Test Pilot,1939,0,3
Testament,1984,0,1
Thank God It's Friday,1979,1,1
Thank Your Lucky Stars,1944,0,1
Thanks a Million,1936,0,1
Thar She Blows!,1953,0,1
That Certain Age,1939,0,2
That Forsyte Woman,1951,0,1
That Girl from Paris,1937,0,1
That Hamilton Woman,1942,1,4
That Lady in Ermine,1949,0,1
That Man from Rio,1965,0,1
That Mothers Might Live,1939,1,1
That Obscure Object of Desire,1978,0,2
That Thing You Do!,1997,0,1
That Touch of Mink,1963,0,3
That Uncertain Feeling,1942,0,1
That's Life,1987,0,1
That's Me,1964,0,1
The 100-Year-Old Man Who Climbed out the Window and Disappeared,2016,0,1
The 400 Blows,1960,0,1
"The 5,000 Fingers of Dr. T",1954,0,1
The 500 Hats of Bartholomew Cubbins,1944,0,1
The 81st Blow,1975,0,1
The Absent Minded Professor,1962,0,3
The Absent-Minded Waiter,1978,0,1
The Abyss,1990,1,4
The Accidental Tourist,1989,1,4
The Accused,1989,1,1
The Act of Killing,2014,0,1
The Actress,1954,0,1
The Addams Family,1992,0,1
The Adventures of Baron Munchausen,1990,0,4
The Adventures of Don Juan,1950,1,2
The Adventures of Mark Twain,1945,0,3
"The Adventures of Priscilla, Queen of the Desert",1995,1,1
The Adventures of Robin Hood,1939,3,4
The Adventures of Tintin,2012,0,1
The Adventures of Tom Sawyer,1939,0,1
The Affair of the Necklace,2002,0,1
The Affairs of Cellini,1935,0,4
The Affairs of Susan,1946,0,1
The African Queen,1952,1,4
The Age of Innocence,1994,1,5
The Agony and the Ecstasy,1966,0,5
The Alamo,1961,1,7
The Alaskan Eskimo,1954,1,1
The Amazing Mrs. Holliday,1944,0,1
The American President,1996,0,1
The Americanization of Emily,1965,0,2
The Amityville Horror,1980,0,1
The Anderson Platoon,1968,1,1
The Andromeda Strain,1972,0,2
The Angry Silence,1961,0,1
The Apartment,1961,5,10
The Apostle,1998,0,1
The Appointments of Dennis Jennings,1989,1,1
The Apprenticeship of Duddy Kravitz,1975,0,1
The Artist,2012,5,10
The Asphalt Jungle,1951,0,4
The Assassination of Jesse James by the Coward Robert Ford,2008,0,2
The Assault,1987,1,1
The Atomic City,1953,0,1
The Aviator,2005,5,11
The Awakening,1930,0,1
The Awful Truth,1938,1,6
The Baader Meinhof Complex,2009,0,1
The Baby Maker,1971,0,1
The Bachelor Party,1958,0,1
The Bachelor and the Bobby-Soxer,1948,1,1
The Bad Seed,1957,0,4
The Bad and the Beautiful,1953,5,6
The Balcony,1964,0,1
The Ballad of Buster Scruggs,2019,0,2
The Band Wagon,1954,0,3
The Barbarian Invasions,2004,1,2
The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2012,0,1
The Barefoot Contessa,1955,1,2
The Barker,1930,0,1
The Barkleys of Broadway,1950,0,1
The Barretts of Wimpole Street,1935,0,2
The Battle of Algiers,1969,0,3
The Battle of Gettysburg,1956,0,2
The Battle of Midway,1943,1,1
The Battle of Neretva,1970,0,1
The Battle of Russia,1944,0,1
The Battle of the Bulge...The Brave Rifles,1966,0,1
The Battle over Citizen Kane,1996,0,1
The Bead Game,1978,0,1
The Bear,1990,0,1
The Bells of St. Mary's,1946,1,8
The Bespoke Overcoat,1957,1,1
The Best Little Whorehouse in Texas,1983,0,1
The Best Man,1965,0,1
The Best Things in Life Are Free,1957,0,1
The Best Years of Our Lives,1947,7,8
The Best of Everything,1960,0,2
The Betrayal (Nerakhoon),2009,0,1
The Bible,1967,0,1
The Bicycle Thief,1950,0,1
The Big Broadcast of 1938,1939,1,1
The Big Carnival,1952,0,1
The Big Chill,1984,0,3
The Big Country,1959,1,2
The Big Fisherman,1960,0,3
The Big House,1931,2,4
The Big Pond,1931,0,1
The Big Short,2016,1,5
The Big Sick,2018,0,1
The Big Sky,1953,0,2
The Big Snit,1986,0,1
The Big Story,1995,0,1
The Bigger Picture,2015,0,1
The Birdcage,1997,0,1
The Birds,1964,0,1
The Bishop's Wife,1948,1,5
The Black Dahlia,2007,0,1
The Black Hole,1980,0,2
The Black Rose,1951,0,1
The Black Stallion,1980,0,2
The Black Swan,1943,1,3
The Blind Side,2010,1,2
The Blood of Yingzhou District,2007,1,1
The Blue Bird,1941,0,2
The Blue Dahlia,1947,0,1
The Blue Lagoon,1981,0,1
The Blue Veil,1952,0,2
The Boat Is Full,1982,0,1
The Bodyguard,1993,0,2
The Bold and the Brave,1957,0,2
The Bolero,1974,1,1
The Bolshoi Ballet,1959,0,1
The Book Thief,2014,0,1
The Boss Baby,2018,0,1
The Bostonians,1985,0,2
The Bourne Ultimatum,2008,3,3
The Box,1968,1,1
The Boxtrolls,2015,0,1
The Boy Friend,1972,0,1
The Boy and the Eagle,1950,0,1
The Boys from Brazil,1979,0,3
The Boys from Syracuse,1941,0,2
The Boys of Paul Street,1969,0,1
The Brave One,1957,1,3
The Breadwinner,2018,0,1
The Bridge,1960,0,1
The Bridge of San Luis Rey,['1930' '1945'],1,2
The Bridge on the River Kwai,1958,7,8
The Bridges at Toko-Ri,1956,1,2
The Bridges of Madison County,1996,0,1
The Brink's Job,1979,0,1
The Broadcast Tapes of Dr. Peter,1994,0,1
The Broadway Melody,1930,1,3
The Broken Circle Breakdown,2014,0,1
The Brothers Karamazov,['1959' '1970'],0,2
The Buccaneer,['1939' '1959'],0,2
The Buddy Holly Story,1979,1,3
The Caddy,1954,0,1
The Cadillac,1963,0,1
The Caine Mutiny,1955,0,7
The Calico Dragon,1936,0,1
The California Reich,1976,0,1
The Candidate,1973,1,2
The Canterbury Tales,1999,0,1
The Captain of Kopenick,1957,0,1
The Captain's Paradise,1954,0,1
The Cardinal,1964,0,6
The Caretakers,1964,0,1
The Case of Sergeant Grischa,1931,0,1
The Cat Came Back,1989,0,1
The Cat Concerto,1947,1,1
The Cathedral,2003,0,1
The Cell,2001,0,1
The Chalk Garden,1965,0,1
The Challenge...A Tribute to Modern Art,1975,0,1
The Champ,1933,2,5
The Charge of the Light Brigade,1937,1,3
The Chicken (Le Poulet),1966,1,1
The Chicken from Outer Space,1996,0,1
The Childeater,1990,0,1
The Children of Leningradsky,2005,0,1
The Children of Soong Ching Ling,1985,0,1
The Children of Theatre Street,1978,0,1
The Children's Hour,1962,0,5
The Children's Storefront,1989,0,1
The China Syndrome,1980,0,4
The Chocolate Soldier,1942,0,3
The Chorus (Les Choristes),2005,0,2
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006,1,3
The ChubbChubbs!,2003,1,1
The Cider House Rules,2000,2,7
The Citadel,1939,0,4
The Clan of the Cave Bear,1987,0,1
The Class,2009,0,1
The Client,1995,0,1
"The Cliff Dwellers (formerly titled ""One Plus One"")",1963,0,1
The Climax,1945,0,1
The Collector,1966,0,3
The Collector of Bedford Street,2003,0,1
The Color Purple,1986,0,11
The Color of Money,1987,1,4
The Colours of My Father: A Portrait of Sam Borenstein,1993,0,1
The Commitments,1992,0,1
The Competition,1981,0,2
The Concert,['1964' '1975'],0,2
The Confession,2011,0,1
The Conformist,1972,0,1
The Conquest of Everest,1954,0,1
The Conscience of Nhem En,2009,0,1
The Constant Gardener,2006,1,4
The Constant Nymph,1944,0,1
The Contender,2001,0,2
The Conversation,1975,0,3
The Cooler,2004,0,1
The Cop,1930,0,1
The Corn Is Green,1946,0,2
The Corsican Brothers,1943,0,1
The Cotton Club,1985,0,2
The Counterfeiters,2008,1,1
The Country Cousin,1937,1,1
The Country Girl,1955,2,7
The Courage to Care,1986,0,1
The Court-Martial of Billy Mitchell,1956,0,1
The Cove,2010,1,1
The Cow,1990,0,1
The Cowboy and the Lady,1939,1,3
The Creation,1982,0,1
The Creation of Woman,1961,0,1
The Criminal Code,1932,0,1
The Critic,1964,1,1
The Croods,2014,0,1
The Crowd,1929,0,2
The Crucible,1997,0,2
The Cruel Sea,1954,0,1
The Crunch Bird,1972,1,1
The Crusades,1936,0,1
The Crush,2011,0,1
The Cry of Reason - Beyers Naudé: An Afrikaner Speaks Out  ,1989,0,1
The Crying Game,1993,1,6
The Curious Case of Benjamin Button,2009,3,13
The Dam Busters,1956,0,1
The Dam Keeper,2015,0,1
The Damned,1970,0,1
The Danish Girl,2016,1,4
The Danish Poet,2007,1,1
The Dark Angel,1936,1,3
The Dark Command,1941,0,2
The Dark Knight,2009,2,8
The Dark Mirror,1947,0,1
The Dark Wave,1957,0,2
The Dark at the Top of the Stairs,1961,0,1
The Dawn Patrol,1932,1,1
The Dawns Here Are Quiet,1973,0,1
The Day after Trinity,1981,0,1
The Day of the Dolphin,1974,0,2
The Day of the Jackal,1974,0,1
The Day of the Locust,1976,0,2
The Dead,1988,0,2
The Death of Kevin Carter: Casualty of the Bang Bang Club,2006,0,1
The Decline of the American Empire,1987,0,1
The Deep,1978,0,1
The Deer Hunter,1979,5,9
The Defiant Ones,1959,2,9
The Deluge,1975,0,1
The Departed,2007,4,5
The Descendants,2012,1,5
The Desert Rats,1954,0,1
The Desert Song,1945,0,1
The Devil Came at Night,1958,0,1
The Devil Dancer,1929,0,1
The Devil Pays Off,1942,0,1
The Devil Wears Prada,2007,0,2
The Devil and Miss Jones,1942,0,2
The Devil's Holiday,1931,0,1
The Diary of Anne Frank,1960,3,8
The Dirty Dozen,1968,1,4
The Disaster Artist,2018,0,1
The Discreet Charm of the Bourgeoisie,1973,1,2
The Divided Trail: A Native American Odyssey,1979,0,1
The Divine Lady,1930,1,3
The Diving Bell and the Butterfly,2008,0,4
The Divorcee,1931,1,4
The Dizzy Acrobat,1944,0,1
The Dollar Bottom,1981,1,1
The Dolly Sisters,1947,0,1
The Doonesbury Special,1978,0,1
The Door,2010,0,1
The Doorway to Hell,1932,0,1
The Dot and the Line,1966,1,1
The Dove,['1929' '1969'],1,2
The Drag,1967,0,1
The Dresser,1984,0,5
The Duchess,2009,1,2
The Dutch Master,1994,0,1
The Earrings of Madame de...,1955,0,1
The Eddy Duchin Story,1957,0,4
The Egg and I,1948,0,1
The Egyptian,1955,0,1
The Eleanor Roosevelt Story,1966,1,1
The Electric Horseman,1980,0,1
